MagX:,MagY:,MagZ:,Mag:,is data good?,try it myself,is data good?,,,,,,,
156,-474,-135,690.305,TRUE,516.9497074,TRUE,,,,,,,
157,-475,-135,690.305,TRUE,518.1688914,TRUE,,,,,,,
157,-475,-135,690.758,TRUE,518.1688914,TRUE,,,,,,,
156,-473,-135,690.464,TRUE,516.0329447,TRUE,,,,,,,
157,-475,-136,691.385,TRUE,518.4303232,TRUE,,,,,,,
156,-475,-135,691.139,TRUE,517.8667782,TRUE,,,,,,,
156,-475,-136,691.214,TRUE,518.1283625,TRUE,,,,,,,
157,-474,-134,690.844,TRUE,516.992263,TRUE,,,,,,,
156,-475,-135,692.059,TRUE,517.8667782,TRUE,,,,,,,
157,-474,-134,692.059,TRUE,516.992263,TRUE,,,,,,,
158,-475,-134,690.011,TRUE,518.2132766,TRUE,,,,,,,
158,-474,-134,689.923,TRUE,517.29682,TRUE,,,,,,,
156,-475,-134,690.688,TRUE,517.6069938,TRUE,,,,,,,
158,-474,-136,690.219,TRUE,517.818501,TRUE,,,,,,,
157,-475,-134,690.377,TRUE,517.9092585,TRUE,,,,,,,
156,-475,-135,691.313,TRUE,517.8667782,TRUE,,,,,,,
157,-474,-134,691.054,TRUE,516.992263,TRUE,,,,,,,
157,-474,-133,689.299,TRUE,516.7339741,TRUE,,,,,,,
157,-475,-135,690.305,TRUE,518.1688914,TRUE,,,,,,,
157,-475,-136,690.758,TRUE,518.4303232,TRUE,,,,,,,
157,-474,-136,689.543,TRUE,517.514251,TRUE,,,,,,,
157,-474,-135,690.59,TRUE,517.2523562,TRUE,,,,,,,
157,-475,-134,690.134,TRUE,517.9092585,TRUE,,,,,,,
157,-473,-135,690.517,TRUE,516.3361308,TRUE,,,,,,,
156,-475,-133,690.971,TRUE,517.3490118,TRUE,,,,,,,
158,-475,-135,690.293,TRUE,518.4727572,TRUE,,,,,,,
156,-475,-134,690.971,TRUE,517.6069938,TRUE,,,,,,,
155,-474,-134,690.673,TRUE,516.3884197,TRUE,,,,,,,
157,-476,-134,691.437,TRUE,518.8265606,TRUE,,,,,,,
157,-473,-133,690.673,TRUE,515.816828,TRUE,,,,,,,
156,-476,-136,690.305,TRUE,519.0452774,TRUE,,,,,,,
158,-474,-134,691.054,TRUE,517.29682,TRUE,,,,,,,
157,-475,-133,692.615,TRUE,517.6514271,TRUE,,,,,,,
156,-474,-136,691.594,TRUE,517.2117555,TRUE,,,,,,,
156,-474,-134,690.673,TRUE,516.6894619,TRUE,,,,,,,
156,-475,-135,689.385,TRUE,517.8667782,TRUE,,,,,,,
158,-474,-135,689.16,TRUE,517.5567602,TRUE,,,,,,,
157,-474,-135,688.956,TRUE,517.2523562,TRUE,,,,,,,
158,-475,-135,688.123,TRUE,518.4727572,TRUE,,,,,,,
156,-474,-134,691.639,TRUE,516.6894619,TRUE,,,,,,,
156,-475,-135,690.969,TRUE,517.8667782,TRUE,,,,,,,
159,-474,-135,689.214,TRUE,517.8629162,TRUE,,,,,,,
155,-475,-135,685.368,TRUE,517.5664209,TRUE,,,,,,,
157,-476,-134,675.812,TRUE,518.8265606,TRUE,,,,,,,
156,-474,-135,669.927,TRUE,516.9497074,TRUE,,,,,,,
156,-476,-135,667.462,TRUE,518.7841555,TRUE,,,,,,,
155,-474,-134,667.127,TRUE,516.3884197,TRUE,,,,,,,
157,-475,-135,659.756,TRUE,518.1688914,TRUE,,,,,,,
157,-474,-135,655.279,TRUE,517.2523562,TRUE,,,,,,,
156,-474,-135,645.152,TRUE,516.9497074,TRUE,,,,,,,
156,-474,-134,645.477,TRUE,516.6894619,TRUE,,,,,,,
157,-475,-137,639.558,TRUE,518.6935511,TRUE,,,,,,,
156,-476,-134,637.5,TRUE,518.5248306,TRUE,,,,,,,
157,-474,-134,635.845,TRUE,516.992263,TRUE,,,,,,,
157,-474,-134,634.365,TRUE,516.992263,TRUE,,,,,,,
157,-475,-135,640.175,TRUE,518.1688914,TRUE,,,,,,,
159,-475,-135,645.633,TRUE,518.7783727,TRUE,,,,,,,
156,-475,-135,649.561,TRUE,517.8667782,TRUE,,,,,,,
158,-474,-134,670.979,TRUE,517.29682,TRUE,,,,,,,
157,-473,-135,680.657,TRUE,516.3361308,TRUE,,,,,,,
159,-475,-134,691.723,TRUE,518.519045,TRUE,,,,,,,
157,-474,-135,694.37,TRUE,517.2523562,TRUE,,,,,,,
157,-474,-135,705.687,TRUE,517.2523562,TRUE,,,,,,,
157,-475,-134,708.508,TRUE,517.9092585,TRUE,,,,,,,
157,-475,-135,713.199,TRUE,518.1688914,TRUE,,,,,,,
199,-594,-168,712.523,TRUE,648.5838419,TRUE,,,,,,,
198,-595,-169,708.774,TRUE,649.4536165,TRUE,,,,,,,
198,-595,-170,708.653,TRUE,649.7145527,TRUE,,,,,,,
198,-596,-170,705.001,TRUE,650.6304635,TRUE,,,,,,,
198,-597,-169,701.16,TRUE,651.2864193,TRUE,,,,,,,
198,-596,-170,702.656,TRUE,650.6304635,TRUE,,,,,,,
199,-595,-169,703.695,TRUE,649.7591862,TRUE,,,,,,,
199,-597,-168,716.585,TRUE,651.3324804,TRUE,,,,,,,
198,-596,-171,730.798,TRUE,650.8924642,TRUE,,,,,,,
199,-597,-171,736.166,TRUE,652.1127203,TRUE,,,,,,,
198,-597,-170,747.054,TRUE,651.5466215,TRUE,,,,,,,
199,-595,-171,750.832,TRUE,650.2822464,TRUE,,,,,,,
198,-596,-167,752.594,TRUE,649.8530603,TRUE,,,,,,,
197,-596,-169,754.388,TRUE,650.0661505,TRUE,,,,,,,
199,-596,-170,753.502,TRUE,650.9354807,TRUE,,,,,,,
200,-594,-170,751.919,TRUE,649.4120418,TRUE,,,,,,,
198,-594,-169,747.45,TRUE,648.5375856,TRUE,,,,,,,
200,-593,-169,744.649,TRUE,648.2360681,TRUE,,,,,,,
198,-596,-168,738.323,TRUE,650.1107598,TRUE,,,,,,,
199,-595,-168,736.601,TRUE,649.4998075,TRUE,,,,,,,
198,-597,-167,733.89,TRUE,650.7703128,TRUE,,,,,,,
197,-595,-170,732.466,TRUE,649.4105019,TRUE,,,,,,,
198,-597,-170,722.832,TRUE,651.5466215,TRUE,,,,,,,
198,-596,-170,718.241,TRUE,650.6304635,TRUE,,,,,,,
199,-597,-172,728.8,TRUE,652.3756587,TRUE,,,,,,,
196,-596,-169,733.475,TRUE,649.7638032,TRUE,,,,,,,
198,-595,-171,739.346,TRUE,649.9769227,TRUE,,,,,,,
198,-596,-169,731.2,TRUE,650.3698948,TRUE,,,,,,,
198,-594,-171,716.832,TRUE,649.0616304,TRUE,,,,,,,
198,-596,-169,704.508,TRUE,650.3698948,TRUE,,,,,,,
197,-595,-168,700.213,TRUE,648.8898212,TRUE,,,,,,,
197,-595,-168,678.844,TRUE,648.8898212,TRUE,,,,,,,
197,-596,-168,666.6,TRUE,649.8068944,TRUE,,,,,,,
198,-597,-170,634.587,TRUE,651.5466215,TRUE,,,,,,,
197,-595,-169,614.622,TRUE,649.1494435,TRUE,,,,,,,
198,-596,-170,566.348,TRUE,650.6304635,TRUE,,,,,,,
196,-596,-169,551.073,TRUE,649.7638032,TRUE,,,,,,,
198,-596,-169,550.783,TRUE,650.3698948,TRUE,,,,,,,
197,-596,-170,548.497,TRUE,650.3268409,TRUE,,,,,,,
197,-596,-167,543.395,TRUE,649.5490744,TRUE,,,,,,,
197,-596,-170,536.36,TRUE,650.3268409,TRUE,,,,,,,
197,-596,-169,80.815,FALSE,650.0661505,TRUE,,,,,,,
198,-595,-170,399.647,TRUE,649.7145527,TRUE,,,,,,,
197,-595,-171,399.647,TRUE,649.6729947,TRUE,,,,,,,
