MinX:,MaxX:,MinY:,MaxY:,MinZ:,MaxZ:,,,MinX:,MaxX:,MinY:,MaxY:,MinZ:,MaxZ:
-1428.39209,1521.18445,-1350.33557,1429.94592,-1331.005,1467.40369,,,,,,,,
-1515.37048,1608.948,-1435.17529,1466.98596,-1416.17908,1524.14172,,,,,,,,
-1298.35901,1635.0282,-1234.10266,1485.88184,-1217.36194,1533.9989,,,,,,,,
-1359.50781,1585.47424,-1291.84314,1338.60706,-1274.28381,1420.18872,,,,,,,,
-1426.16992,1596.55127,-1348.49768,1404.14966,-1331.4729,1468.10535,,,,,,,,
-1244.11047,1605.08875,-1181.35767,1478.46387,-1157.68335,1514.15076,,,,,,,,
-1306.44543,1630.36694,-1237.91199,1487.23523,-1216.54333,1531.99426,,,,,,,,
-1366.79224,1459.30066,-1292.79541,1342.01526,-1272.44592,1429.01025,,,,,,,,
-1426.43738,1526.73145,-1349.50012,1439.68628,-1331.52307,1462.72559,,,,,,,,
-1518.07703,1600.26025,-1435.0249,1479.66687,-1418.13379,1497.51025,,,,,,,,
-1299.69556,1631.58643,-1234.13611,1490.07544,-1216.02539,1527.88416,,,,,,,,
-1358.97314,1572.1084,-1291.09131,1402.36206,-1274.4342,1389.46399,,,,,,,,
-1424.8501,759.74854,-1346.87695,1399.0874,-1329.30103,1447.23792,,,,,,,,
-1518.84558,1607.77856,-1435.0249,1476.30872,-1417.23157,1514.73547,,,,,,,,
-1304.13977,1628.98022,-1238.04565,1488.13745,-1214.271,1530.22314,,,,,,,,
-1363.0498,1494.90393,-1292.22742,1353.677,-1275.83752,1464.83081,,,,,,,,
-1423.04578,1577.35437,-1348.01331,1364.4364,-1330.01941,1469.39172,,,,,,,,
-1513.54919,1626.59106,-1434.10596,1464.5968,-1418.76855,1517.05774,,,,,,,,
-1301.65051,1634.77759,-1237.26038,1487.68628,-1218.0636,1526.26355,,,,,,,,
-1365.90674,1525.32788,-1292.57825,1339.97693,-1274.46765,1353.64355,,,,,,,,
-1427.12231,1526.18005,-1350.81995,1379.32275,-1331.94067,1406.40515,,,,,,,,
-1519.46375,1599.70886,-1434.67407,1453.31934,-1418.26758,1486.13257,,,,,,,,
-1303.2041,1629.4646,-1235.89038,1486.14929,-1216.69373,1525.62866,,,,,,,,
-1362.68213,1541.63428,-1291.7428,1342.28247,-1273.68225,1356.03271,,,,,,,,
-1424.28198,1574.88184,-1347.39502,1405.72021,-1330.06946,1404.28333,,,,,,,,
-1514.73547,1614.36133,-1433.03674,1483.71008,-1416.17908,1500.86841,,,,,,,,
-1303.82239,1635.39575,-1235.1051,1490.55994,-1217.61255,1527.31604,,,,,,,,
-1366.24084,1514.20093,-1292.96265,1393.9082,-1273.59875,1352.27368,,,,,,,,
-1428.60925,1529.23755,-1348.63135,1359.79187,-1329.43457,1428.00781,,,,,,,,
-1518.86218,1591.67273,-1435.47595,1460.90442,-1416.04541,1513.54919,,,,,,,,
-1302.06812,1630.36694,-1233.45117,1488.73889,-1215.29028,1529.23755,,,,,,,,
-1361.22864,1524.37561,-1291.84314,1429.87915,-1271.39331,1425.38477,,,,,,,,
-1422.11011,1570.90552,-1347.64563,1404.61755,-1328.53247,1483.30896,,,,,,,,
-1515.4873,1619.87476,-1433.02002,1451.81567,-1417.64929,1517.72607,,,,,,,,
-1302.25183,1625.52161,-1235.37244,1480.38525,-1216.17566,1529.88904,,,,,,,,
-1360.49365,1515.95508,-1290.00537,1321.38171,-1274.1167,1455.05688,,,,,,,,
-1421.02405,1590.15234,-1347.3783,1375.22937,-1331.0719,1426.60437,,,,,,,,
-1517.14136,1615.93176,-1434.25635,1459.46765,-1415.8783,1485.54773,,,,,,,,
-1297.89136,1631.53625,-1232.86633,1481.0033,-1215.00623,1528.97009,,,,,,,,
-1359.42419,1577.35437,-1289.28687,1331.8739,-1271.54382,1428.35864,,,,,,,,
-1425.83582,1558.47534,-1348.53113,1424.51599,-1328.11475,1480.0343,,,,,,,,
-1517.64258,1590.73706,-1435.9104,1458.79944,-1415.41052,1514.86926,,,,,,,,
-1303.58838,1626.89172,-1234.15283,1485.08008,-1215.24011,1529.75537,,,,,,,,
